keyword,category,proposed_title,meta_description,suggested_keywords,article_sections,why_needed,related_existing_terms,related_planned_terms,priority
corrosion-defect,concrete-defects,"Corrosion of Reinforcement in Concrete Structures","Corrosion of reinforcing steel is the electrochemical deterioration of rebar within concrete, driven by chloride ingress or carbonation destroying the protective passive layer. Corrosion products (rust) occupy 3-6× the original steel volume, causing concrete cracking, spalling, and delamination. TarmacView's defect head classifies surface-visible corrosion. Covers mechanism, visible indicators (rust staining, cracking pattern), and NDT assessment methods.",corrosion; rebar corrosion; reinforcement corrosion; steel corrosion; concrete corrosion; rust staining; corrosion mechanism; chloride corrosion; carbonation corrosion; corrosion products,1. Electrochemical Mechanism (anode; cathode; electrolyte; electrical connection); 2. Chloride-Induced Corrosion; 3. Carbonation-Induced Corrosion; 4. Corrosion Products and Volume Expansion; 5. Visible Indicators (rust staining; longitudinal cracking along rebar; spalling pattern); 6. TarmacView Defect Head: corrosion Label; 7. Corrosion Detection Limitations (surface-visible only vs hidden); 8. Corrosion Assessment (half-cell; resistivity; corrosion rate); 9. Corrosion Severity; 10. Repair and Mitigation,Surface-visible corrosion detection — TarmacView classifies visible corrosion staining as a high-severity defect.,concrete; defect; rebar; bridge-deck; inspection; structural,exposed-rebar; spalling; delamination; efflorescence; carbonation; chloride-attack; half-cell-potential; cathodic-protection; corrosion-rate; concrete-cover; corrosion-protection,high
surface-type,classification,"Surface Type Classification for Infrastructure Inspection","Surface type classification assigns a material category — asphalt, concrete, paving stones, sett, gravel, mud, unpaved — to each analyzed image or tile, routing subsequent analysis and gating structural defects. TarmacView's DINOv3 kNN classifier achieves 0.954 surface-type accuracy. Covers surface type taxonomy, classification methods, domain mapping for defect gating, and implications for condition assessment.",surface type; pavement surface type; material classification; asphalt concrete classification; surface material; paving stones; sett; gravel surface; unpaved surface; surface type taxonomy,1. TarmacView Surface Type Taxonomy; 2. Classification via Cosine kNN on DINOv3 Embeddings; 3. Accuracy (0.954); 4. Surface Type and Analysis Region Selection (lower_half vs full); 5. Surface Type and Defect Gating; 6. Surface Type to Domain Mapping (bridge; building; pavement; runway; concrete-generic); 7. Surface Type and Quality Grading; 8. Multi-Surface Pavement Analysis; 9. Edge Cases (mixed surfaces; obscured surfaces); 10. Surface Type in Reporting,Primary classification output of TarmacView — drives analysis routing and defect applicability logic.,classification; inspection; pavement; asphalt; concrete; runway; surface,domain-classification; defect-gating; quality-grade; embedding-space; cosine-similarity; k-nearest-neighbors; concrete; asphalt; paving-stones; sett; gravel; unpaved,high
quality-grade,classification,"Surface Quality Grading (1-5 Scale) for Pavement Condition","TarmacView's surface quality grading assigns an ordinal 1-5 rating (1=Excellent, 5=Very Bad) based on cosine kNN voting against a fine-tuned DINOv3 reference set. Quality grades feed condition assessment, repair prioritization, and road survey problem detection. Covers the quality scale, grade definitions, model accuracy (off-by-one 0.999; MAE ~0.34), and relationship to formal condition indices.",quality grade; surface quality; pavement quality; quality scale 1-5; quality rating; excellent good fair poor very bad; quality classification; surface condition grade; quality off-by-one; quality grading,1. 1-5 Quality Scale Definitions; 2. Quality as Cosine kNN Majority Vote; 3. Model Accuracy (quality accuracy ~0.666; off-by-one accuracy 0.999; MAE 0.34); 4. Quality and Surface Type Independence; 5. Quality Grade Aggregation (median of road tiles); 6. Quality Grade in Condition Assessment; 7. Quality Grade in Road Survey; 8. Quality Grade Stability (temporal; lighting; camera); 9. Quality vs PCI and Other Indices; 10. Quality Grade in Reporting,Core TarmacView output — 1-5 quality rating drives condition assessment and survey problem detection.,classification; inspection; pavement; asphalt; concrete; assessment; condition,quality-grade; surface-type; pci-proxy; condition-rating; repair-priority; pavement-condition-index; embedding-space; supervised-contrastive-learning; cosine-similarity; k-nearest-neighbors,high
thermography-drone,nd-testing,"Drone-Based Infrared Thermography for Bridge and Pavement Inspection","Drone-based infrared thermography mounts thermal cameras on UAVs to rapidly survey bridge decks and pavements for delamination, debonding, and moisture from the air, covering large areas without traffic disruption. AI analysis of thermal patterns automates defect detection. Covers drone IRT system design, flight planning for thermal surveys, data processing, and integration with visual RGB inspection.",drone thermography; UAV thermography; aerial thermal; drone IRT; thermal drone inspection; aerial infrared; drone bridge thermal; drone pavement thermal; thermal drone flight; thermography drone integration,1. Drone IRT System Components (thermal camera; gimbal; RTK GPS); 2. Flight Planning for Thermal Surveys (solar loading timing; altitude; overlap); 3. Thermal Resolution and Ground Sample Distance; 4. Data Processing (thermal mosaic; thermal anomaly detection; AI analysis); 5. Bridge Deck Delamination Detection from Drone; 6. Pavement Debonding and Moisture Detection; 7. Integration with RGB Visual Inspection; 8. Drone IRT vs Vehicle IRT; 9. Regulatory Considerations (BVLOS; night flights); 10. Reporting Thermal Inspection Results,Near-production drone NDT method — combines aerial access with subsurface defect detection complementing TarmacView visual analysis.,drone; inspection; infrared-thermography; bridge-deck; pavement; UAV; thermography; NDT; delamination,infrared-thermography; delamination; bridge-deck; pavement; non-destructive-testing; drone; UAV; photogrammetry; lidar; structural-health-monitoring,medium
automated-inspection-drone,technology,"Automated Drone-Based Infrastructure Inspection","Automated drone inspection uses pre-programmed flight paths, computer vision, and AI analysis to survey infrastructure (runways, bridges, roads, buildings) with minimal human piloting, producing consistent, repeatable data. TarmacView's drone-captured imagery is analyzed by its pipeline. Covers automated flight planning, obstacle avoidance, BVLOS operations, data capture consistency, and integration with analysis pipelines.",automated inspection; drone inspection; autonomous drone; automated drone survey; UAV inspection; programmed flight; BVLOS inspection; drone-based inspection; automated data capture; repeatable drone survey,1. Definition and Components; 2. Automated Flight Planning (waypoint; grid; corridor; 3D model); 3. Obstacle Detection and Avoidance; 4. Beyond Visual Line of Sight (BVLOS) Operations; 5. Sensor Payloads (RGB; thermal; LiDAR; multispectral); 6. Data Capture Consistency (altitude; speed; overlap; gimbal angle); 7. Automated Data Transfer and Processing; 8. TarmacView Integration (drone imagery → analyze → report); 9. Regulatory Framework (FAA Part 107; EASA; remote ID); 10. Repeat Surveys and Change Detection,Inspection platform that feeds TarmacView's analysis pipeline — automated drone surveys enable consistent, repeatable data.,drone; UAV; inspection; automation; technology; runway; bridge; pavement,drone; UAV; unmanned-aerial-vehicle; photogrammetry; lidar; orthomosaic; change-detection; automated-defect-recognition; flight-planning; beyond-visual-line-of-sight; real-time-kinematic,high
bridge-load-rating,bridges,"Bridge Load Rating and Its Relationship to Inspection","Bridge load rating determines the safe live load capacity of a bridge, expressed as a rating factor (RF) or tonnage. Condition deterioration found during inspection — section loss, cracking, spalling — directly reduces load rating, potentially requiring posting or closure. Covers load rating methods (ASR; LFR; LRFR), how inspection findings affect ratings, and the inspection-load rating feedback loop.",bridge load rating; load rating; bridge capacity; rating factor; bridge posting; load and resistance factor rating; LRFR; allowable stress rating; bridge load capacity; inspection capacity relationship,1. Definition and Legal Basis (NBIS; 23 CFR 650); 2. Load Rating Methods (ASR; LFR; LRFR); 3. Rating Factor (RF) Calculation; 4. Inventory vs Operating Rating; 5. How Inspection Findings Reduce Load Rating (section loss; cracking; deterioration); 6. Bridge Posting (weight restrictions); 7. Load Rating and Bridge Management; 8. Re-Rating After Rehabilitation/Repair; 9. Load Rating and TarmacView Inspection Data; 10. Critical and Serious Condition and Emergency Load Rating,Bridge capacity assessment — inspection findings directly affect safe load capacity and may trigger restrictions.,bridge; inspection; condition; safety; structural; assessment,condition-rating; bridge-deck; girder; corrosion; spalling; fatigue-cracking; structural-health-monitoring; repair-priority,medium
pavement-design-life,pavement-design,"Pavement Design Life and Performance Period","Pavement design life (or performance period) is the planned duration — typically 20 years for flexible, 30-40 years for rigid airport pavements — that a pavement is engineered to serve before requiring major rehabilitation or reconstruction. Actual life depends on traffic loading, climate, maintenance, and materials. Covers design life concepts, terminal condition thresholds, and how periodic inspection tracks remaining life.",pavement design life; design life; performance period; pavement life; service life; pavement 20-year design; pavement 30-year design; terminal condition; remaining life; pavement design period,1. Definition and Distinction (design life vs analysis period vs performance period); 2. Typical Design Lives (flexible 20 yr; rigid 30-40 yr; airport 20 yr); 3. Terminal Condition and Rehabilitation Trigger; 4. Factors Affecting Actual Service Life (traffic; climate; maintenance; overload); 5. Design Life in AASHTO and FAA Methods; 6. Remaining Life Estimation from Inspection; 7. Pavement Life Extension through Preventive Maintenance; 8. Life Cycle Cost Analysis; 9. Design Life and Pavement Management; 10. Inspection for Life Consumption Assessment,Design concept that frames inspection — surface condition assessment evaluates where pavement is in its lifecycle.,pavement; design; construction; management; inspection,pavement-condition-index; international-roughness-index; rehabilitation; reconstruction; preventive-maintenance; deterioration-model; pavement-management-system; lifecycle-cost,mediumcorner-break,pavement-defects,"Corner Breaks in Concrete Pavements","A corner break is a crack intersecting the transverse joint or crack at an angle, within approximately 0.6 m of the slab corner. It is a significant PCC distress indicating loss of support or load transfer. Covers FHWA LTPP classification, causes, measurement, and AI-based detection from drone imagery.",corner break; PCC corner crack; slab corner crack; FHWA LTPP corner break; joint crack; concrete corner; corner break severity,1. Definition and Geometry; 2. Causes (loss of support; high corner loads; curling stress); 3. FHWA LTPP Severity Classification; 4. Measurement; 5. Corner Break in Airport PCC; 6. Differentiation from Spalling and Punchout; 7. Detection by AI; 8. Repair (full-depth patch; slab replacement),FHWA LTPP PCC distress type — relevant for airport concrete pavement inspection.,concrete; pavement; crack; defect; runway-surface;punchout; faulting; joint-spalling; shattered-slab; load-transfer-efficiency; dowel-bar,medium
shattered-slab,pavement-defects,"Shattered Slabs in Concrete Pavements","A shattered slab is a PCC slab broken into four or more pieces by intersecting cracks, indicating severe structural failure. It is the terminal condition for concrete slabs and requires immediate slab replacement. Covers FHWA LTPP/TxDOT classification, causes, and detection in airport concrete pavement inspection.",shattered slab; PCC shattered; slab failure; concrete slab break; multiple cracking; slab replacement; terminal PCC distress; TxDOT shattered slab,1. Definition and Visual Appearance; 2. Causes (overload; loss of support; ASR; fatigue); 3. FHWA LTPP / TxDOT Classification; 4. Shattered Slab vs Punchout vs Corner Break; 5. Implications (ride quality; FOD; structural); 6. Detection; 7. Repair (full slab replacement); 8. Airport PCC Shattered Slab,Severe PCC failure — terminal condition requiring slab replacement in runway inspection.,concrete; pavement; crack; defect; runway-surface; deformation,corner-break; punchout; faulting; alligator-cracking; pci; pavement-condition-index; repair-priority,medium
durability-cracking,concrete-defects,"D-Cracking (Durability Cracking) in Concrete Pavements","D-cracking is a pattern of closely spaced crescent-shaped cracks near joints, edges, and cracks in PCC pavements, caused by freeze-thaw deterioration of susceptible coarse aggregate. It is a progressive, irreversible distress. Covers mechanism, aggregate susceptibility, visual pattern, and detection in cold-climate airport concrete inspection.",D-cracking; durability cracking; concrete D-crack; freeze-thaw aggregate; PCC D-cracking; crescent cracking; aggregate durability; concrete freeze-thaw crack; D-crack pattern,1. Definition and Visual Pattern; 2. Mechanism (aggregate freeze-thaw; critical saturation); 3. Aggregate Susceptibility and Testing (ASTM C666); 4. Progression from D-Cracking to Spalling; 5. D-Cracking in Airport Concrete Runways; 6. Differentiation from Other Cracking; 7. Detection; 8. Prevention (durable aggregate; air entrainment); 9. Repair,Freeze-thaw related PCC distress — important for cold-climate airport concrete inspection.,concrete; pavement; crack; defect; runway-surface; freeze-thaw,freeze-thaw-damage; scaling; joint-spalling; air-entrainment; air-content; map-cracking; spalling; alkali-silica-reaction,medium
popout,concrete-defects,"Popouts in Concrete Pavement Surfaces","A popout is a small, conical depression in a concrete surface typically 25-50 mm in diameter, caused by the expansion and expulsion of a near-surface aggregate particle or contaminant. Usually cosmetic, but numerous popouts can roughen the surface and affect friction. Covers causes (unsound aggregate, chert, clay balls), detection, and differentiation from scaling.",popout; concrete popout; aggregate popout; chert popout; surface popout; PCC popout; concrete surface defect; popout mechanism; popout vs scaling,1. Definition and Appearance; 2. Causes (porous chert; clay lumps; lime particles; freezing); 3. Popout Mechanism; 4. Popout vs Scaling; 5. Effects on Surface (friction; appearance; FOD risk); 6. Popout in Airport Pavements; 7. Detection; 8. Prevention (aggregate quality; durable materials); 9. Repair (minor; usually cosmetic),Minor PCC surface defect — relevant for runway surface quality and FOD assessment.,concrete; pavement; defect; runway-surface; surface-texture; FOD,scaling; map-cracking; polished-aggregate; raveling; foreign-object-debris; freeze-thaw-damage; alkali-silica-reaction,low
blowup,concrete-defects,"Blowups in Concrete Pavements","A blowup is a localized upward buckling or shattering of concrete pavement at a transverse joint or crack during hot weather, caused when compressive stresses from thermal expansion exceed the slab's buckling capacity. It creates an immediate safety hazard and FOD source. Covers mechanism, prevention (adequate joint width; pressure relief joints), and detection.",blowup; concrete blowup; pavement blowup; PCC blowup; thermal blowup; joint blowup; buckling pavement; pressure relief joint; blowup prevention; blowup hazard,1. Definition and Mechanism; 2. Thermal Expansion and Compressive Stress; 3. Incompressible Infiltration Contributing Factor; 4. Blowup Hazard (vehicle impact; FOD; abrupt failure); 5. Prevention (adequate joint width; pressure relief joints; joint sealing); 6. Blowup in Airport Pavements; 7. Detection; 8. Emergency Repair,High-hazard thermal PCC distress — relevant for safety inspection of concrete runways in hot climates.,concrete; pavement; defect; runway-surface; safety; deformation,joint-spalling; faulting; joint-sealant; expansion-joint; incompressible-intrusion; thermal-expansion,medium
settlement-pavement,geotechnical,"Differential Settlement in Pavements and Structures","Differential settlement is uneven vertical displacement of pavement or structural elements due to non-uniform subgrade compression, causing cracking, faulting, and drainage disruption. Covers causes (variable soil; poor compaction; moisture; loading), visual indicators (cracks; ponding; misaligned joints), and assessment via LiDAR/profilometry during inspection.",differential settlement; settlement; pavement settlement; subgrade settlement; uneven settlement; settlement cracking; foundation settlement; settlement measurement; structure settlement; settlement indicator,1. Definition and Distinction from Uniform Settlement; 2. Causes (variable subgrade; poor compaction; expansive soils; undermining); 3. Visual Indicators (longitudinal cracking; ponding; joint faulting; structure tilt); 4. Settlement in Airport Pavements; 5. Settlement in Bridge Approaches; 6. Measurement (LiDAR; differential GPS; level survey); 7. Detection by Drone Survey; 8. Repair (mudjacking; slab replacement; subgrade stabilization); 9. Prevention,Foundation distress causing surface cracking — settlement patterns are key inspection indicators.,pavement; subgrade; concrete; asphalt; bridge; inspection; deformation,heave; faulting; subgrade; pumping; longitudinal-cracking; expansion-joint; scour; differential-settlement; california-bearing-ratio; resilient-modulus,medium
heave-frost,geotechnical,"Frost Heave in Pavements","Frost heave is the upward displacement of pavement from ice lens formation in frost-susceptible subgrade soils during freezing conditions, causing uneven pavement surface and cracking. Covers frost action mechanism, frost-susceptible soils, depth of frost penetration, and inspection in cold-climate regions for runway and road pavements.",frost heave; heave; frost action; ice lens; frost susceptible soil; freeze heave; pavement frost; differential heave; frost depth; frost heave inspection,1. Definition and Mechanism (capillary rise; ice lens formation); 2. Frost-Susceptible Soils (silts; fine sands); 3. Depth of Frost Penetration; 4. Visual Indicators (heaved surface; cracking; spring breakup weakening); 5. Frost Heave in Airport Pavements; 6. Frost Heave Prevention (non-frost-susceptible subbase; drainage; insulation); 7. Detection; 8. Thaw Weakening and Load Restrictions; 9. Seasonal Inspection Patterns,Seasonal pavement distress in cold climates — important for runway inspection in northern regions.,pavement; subgrade; runway-surface; deformation; drainage; inspection,settlement; heave; subgrade; subbase; drainage; freeze-thaw-damage; scaling; longitudinal-cracking; transverse-cracking,medium
pumping,geotechnical,"Pumping at Pavement Joints and Cracks","Pumping is the ejection of water and fine subgrade or subbase material through pavement joints, cracks, or edges under passing wheel loads, progressively eroding support and causing faulting and cracking. It is a major mechanism in PCC pavement deterioration. Covers mechanism, visual evidence (staining, fines deposits), detection, and prevention through drainage and stabilized bases.",pumping; pavement pumping; joint pumping; fines ejection; subgrade erosion; water pumping; mud pumping; pumping evidence; FHWA LTPP pumping; pumping prevention,1. Definition and Mechanism (water; dynamic load; void creation); 2. Visual Evidence (water ejection; fines on surface; staining near joints); 3. FHWA LTPP Pumping Classification; 4. Consequences (loss of support; faulting; cracking; corner breaks); 5. Pumping in Airport PCC Pavements; 6. Detection; 7. Prevention (stabilized base; drainage; joint sealing; edge drains); 8. Repair (undersealing; slab stabilization); 9. Pumping and Load Transfer Efficiency,Subsurface erosion mechanism — visual evidence of pumping indicates hidden structural deterioration.,concrete; pavement; defect; subgrade; drainage; runway-surface,faulting; corner-break; joint-spalling; load-transfer-efficiency; subbase; base-course; edge-drain; underdrain; settlement; erosion,medium
corrosion-protection,reinforcement,"Corrosion Protection Systems for Reinforced Concrete","Corrosion protection for reinforced concrete encompasses multiple strategies: adequate concrete cover, low-permeability concrete (low w/c, SCMs), epoxy-coated or stainless rebar, cathodic protection (galvanic or impressed current), sealers/membranes, and corrosion inhibitors. Covers the full protection hierarchy and how inspection assesses protection system effectiveness.",corrosion protection; reinforcement protection; concrete protection; corrosion prevention; protective coating; concrete sealer; corrosion inhibitor; protection system; durability strategy; corrosion mitigation,1. Protection Hierarchy; 2. Concrete Quality and Cover (primary protection); 3. Supplementary Cementitious Materials (permeability reduction); 4. Coated Reinforcement (epoxy; galvanized; stainless); 5. Cathodic Protection (galvanic; impressed current); 6. Surface Sealers and Membranes; 7. Corrosion Inhibitor Admixtures; 8. Inspection of Protection System Condition; 9. Protection in Airport Concrete; 10. Life-Cycle Cost Comparison,Corrosion management framework — inspection evaluates whether protection systems remain effective.,concrete; corrosion; rebar; bridge-deck; maintenance; inspection,cathodic-protection; epoxy-coated-rebar; galvanized-rebar; stainless-steel-rebar; concrete-cover; silica-fume; fly-ash; ground-granulated-blast-furnace-slag; half-cell-potential; chloride-attack; carbonation,medium
silane-sealer,concrete-materials,"Silane and Siloxane Sealers for Concrete Protection","Silane and siloxane sealers are penetrating, hydrophobic treatments that impregnate concrete surfaces to repel water and chloride ions while allowing vapor transmission, protecting against corrosion without changing surface appearance or friction. Widely used for bridge decks and parking structures. Covers chemistry, application, performance life, and inspection of sealer condition.",silane sealer; siloxane sealer; concrete sealer; penetrating sealer; hydrophobic treatment; water repellent; chloride barrier; bridge deck sealer; concrete protection; sealer inspection,1. Chemistry (alkoxysilanes; siloxanes; silicone resins); 2. Penetration Depth; 3. Water Repellency and Chloride Screening; 4. Application Methods; 5. Performance Life and Reapplication; 6. Effects on Surface (appearance; friction; bond); 7. Sealer in Bridge Deck Preservation; 8. Inspection of Sealer Condition (water beading test; chloride sampling); 9. Airport Applications; 10. Environmental and Safety Aspects,Concrete protection treatment — sealer condition is part of concrete structure inspection.,concrete; maintenance; corrosion; bridge-deck; construction; inspection,corrosion-protection; cathodic-protection; concrete-cover; chloride-attack; carbonation; silane; siloxane; sealer; preventive-maintenance,medium
waterproofing-membrane,bridge-components,"Waterproofing Membranes for Bridge Decks","Bridge deck waterproofing membranes are impermeable layers applied between the structural concrete deck and the asphalt wearing surface to prevent water and chloride penetration, protecting the deck and reinforcement from corrosion. Membrane failure leads to deck deterioration. Covers liquid-applied and sheet membrane systems, application, and inspection for membrane integrity.",waterproofing membrane; bridge waterproofing; deck membrane; liquid membrane; sheet membrane; spray-applied membrane; bridge deck protection; membrane failure; waterproofing inspection; deck waterproofing,1. Purpose and Importance; 2. Membrane Types (liquid-applied: polyurethane; MMA; epoxy; sheet: bituminous; PVC); 3. Application and Quality Control; 4. Bond to Deck and Wearing Course; 5. Membrane Failure Modes (blistering; debonding; puncture; aging); 6. Consequences of Membrane Failure; 7. Inspection for Membrane Integrity (visual; IR; impedance); 8. Membrane in Bridge Deck Preservation; 9. Airport Bridge Applications; 10. Replacement during Deck Rehabilitation,Bridge deck protection layer — membrane failure leads to deck deterioration visible in inspection.,bridge-deck; concrete; waterproofing; corrosion; maintenance; inspection,corrosion-protection; chloride-attack; expansion-joint; silane-sealer; wearing-course; asphalt-overlay; delamination; spalling; bridge-deck,medium
underdrain,pavement-layer,"Subsurface Drainage Systems for Pavements","Subsurface drainage systems — edge drains, underdrains, permeable bases, and drainage blankets — remove water from pavement structural layers, preventing pumping, freeze-thaw damage, and subgrade weakening. Drainage condition is a key inspection item. Covers drainage types, design, inspection for blockage and outlet condition, and consequences of drainage failure.",underdrain; edge drain; pavement drainage; subsurface drain; longitudinal drain; permeable base; drainage outlet; drain pipe; French drain; pavement drain inspection,1. Purpose of Subsurface Drainage; 2. Drainage Types (edge drains; underdrains; permeable base; drainage blanket; interceptor drains); 3. Drainage System Components (pipe; geotextile; outlet; cleanout); 4. Inspection of Drainage (outlet condition; blockages; rodent damage; erosion); 5. Consequences of Drainage Failure (pumping; faulting; freeze-thaw; subgrade weakening); 6. Drainage in Airport Pavements; 7. CCTV Drain Inspection; 8. Maintenance (flushing; rodent exclusion); 9. Drainage and Pavement Life Extension,Subsurface water management — drainage condition directly affects pavement structural health and inspection findings.,pavement; drainage; runway-surface; subgrade; base-course; inspection,subbase; base-course; pumping; faulting; freeze-thaw-damage; geotextile; settlement; permeable-base; french-drain; culvert,medium
geotextile,pavement-layer,"Geotextiles in Pavement and Infrastructure Construction","Geotextiles are permeable synthetic fabrics used in pavement and geotechnical applications for separation (prevent mixing of subgrade and aggregate), filtration (allow water flow while retaining soil), drainage, and reinforcement. Covers geotextile types (woven; non-woven), functions, specification, and inspection of exposed or failed geotextile in deteriorated pavements.",geotextile; geotextile fabric; woven geotextile; non-woven geotextile; separation geotextile; filtration geotextile; reinforcement geotextile; pavement geotextile; geotextile specification; geotextile inspection,1. Definition and Functions; 2. Geotextile Types (woven slit-film; woven monofilament; non-woven needle-punched; non-woven heat-bonded); 3. Separation Function; 4. Filtration Function; 5. Drainage Function; 6. Reinforcement Function; 7. Geotextile Specifications (AASHTO M288); 8. Geotextile in Pavement Applications; 9. Geotextile in Erosion Control; 10. Inspection of Exposed Geotextile,Construction material — geotextile exposure during inspection indicates erosion or structural failure.,pavement; construction; subgrade; drainage; erosion; inspection,subgrade; subbase; base-course; underdrain; separation; filtration; erosion-control; riprap; retaining-wall,medium
geogrid,pavement-layer,"Geogrids for Pavement and Soil Reinforcement","Geogrids are high-strength polymer grids used to reinforce soil, aggregate, and asphalt layers, improving load distribution, reducing rutting, and extending pavement life through interlock with aggregate particles. Covers geogrid types, reinforcement mechanisms, placement, and inspection of pavement sections with geogrid history.",geogrid; pavement geogrid; soil reinforcement; biaxial geogrid; triaxial geogrid; geogrid reinforcement; geogrid interlock; geogrid base reinforcement; geogrid asphalt reinforcement; geogrid specification,1. Definition and Types (biaxial; triaxial; uniaxial); 2. Reinforcement Mechanisms (lateral restraint; tension membrane; improved bearing capacity); 3. Geogrid in Base/Subbase Reinforcement; 4. Geogrid in Asphalt Reinforcement; 5. Geogrid in Slope and Wall Reinforcement; 6. Design and Specification; 7. Installation; 8. Performance and Life Extension; 9. Inspection of Geogrid-Reinforced Pavements; 10. Airport Applications,Reinforcement material — understanding geogrid history helps interpret pavement performance during inspection.,pavement; construction; subgrade; base-course; reinforcement; inspection,geotextile; subgrade; base-course; rutting; california-bearing-ratio; resilient-modulus; subbase; slope-stability; retaining-wall,medium
edge-drain,pavement-layer,"Pavement Edge Drains","Edge drains are longitudinal subsurface drains installed along pavement edges to intercept and remove water from the pavement structure, preventing water-related distress. Edge drain condition — blockage, crushing, outlet blockage — is an important inspection item for pavement drainage assessment.",edge drain; pavement edge drain; longitudinal drain; edge drain pipe; edge drain outlet; edge drain inspection; drain blockage; drain outlet; pavement drainage edge; trench drain,1. Definition and Purpose; 2. Edge Drain Design (depth; pipe type; outlet spacing; geotextile wrap); 3. Retrofit Edge Drains; 4. Edge Drain Inspection (video inspection; outlet condition; rodent damage; sediment accumulation); 5. Consequences of Drain Failure; 6. Maintenance (jetting; outlet repair); 7. Edge Drains in Airport Pavements; 8. Edge Drain vs Permeable Base,Longitudinal drainage element — condition assessment is part of comprehensive pavement inspection.,pavement; drainage; runway-surface; maintenance; inspection,underdrain; pumping; faulting; subbase; geotextile; drainage; permeable-base; freeze-thaw-damage; subgrade,medium
light-weight-deflectometer,geotechnical,"Light Weight Deflectometer (LWD) for Construction QC","The Light Weight Deflectometer (LWD) is a portable device that drops a weight onto a loading plate to measure surface deflection and estimate soil/aggregate stiffness modulus, used for rapid compaction quality control and subgrade evaluation. Covers LWD operation, comparison with FWD and nuclear density gauge, and application for construction acceptance testing.",light weight deflectometer; LWD; portable deflectometer; LWD modulus; compaction QC; LWD test; dynamic modulus; LWD vs FWD; LWD soil stiffness; LWD airport,1. Definition and Portability; 2. Operating Principle; 3. Measured Parameters (deflection; modulus ELWD); 4. LWD for Compaction QC; 5. LWD for Subgrade and Base Acceptance; 6. LWD vs FWD; 7. LWD vs Nuclear Density Gauge; 8. LWD Standards (ASTM E2583); 9. Airport Construction Applications; 10. Interpretation and Quality Control,Construction QC tool — provides rapid stiffness data that complements visual inspection.,geotechnical; pavement; testing; construction; inspection,falling-weight-deflectometer; deflectometer; resilient-modulus; california-bearing-ratio; subgrade; base-course; compaction; proctor-test; plate-bearing-test; nuclear-density-gauge,medium
dynamic-cone-penetrometer,geotechnical,"Dynamic Cone Penetrometer (DCP) for Soil Strength","The Dynamic Cone Penetrometer (DCP) is a portable field device that measures soil and aggregate strength by recording the penetration rate (mm/blow) of a cone driven by a standard hammer, correlating to CBR and resilient modulus. It is widely used for rapid in-situ subgrade and base evaluation during pavement inspection and forensic investigation.",dynamic cone penetrometer; DCP; DCP test; DCP CBR correlation; hand penetrometer; soil penetrometer; DCP pavement; DCP subgrade; DCP penetration rate; DCP forensic,1. Definition and Equipment; 2. Test Procedure (ASTM D6951); 3. DCP Penetration Index (mm/blow); 4. CBR Correlation (log CBR = 2.48-1.057 log DCPI); 5. Resilient Modulus Correlation; 6. DCP for Pavement Forensic Investigation; 7. DCP for Construction QC; 8. Layer Strength Profiling with DCP; 9. DCP vs FWD vs Laboratory Testing; 10. DCP in Airport Pavement Evaluation,Rapid in-situ strength test — DCP data contextualizes surface distress patterns observed during inspection.,geotechnical; pavement; testing; inspection; subgrade; base-course,california-bearing-ratio; resilient-modulus; falling-weight-deflectometer; light-weight-deflectometer; subgrade; base-course; proctor-test; compaction; settlement,medium
proctor-test,geotechnical,"Proctor Compaction Test for Soil Density","The Proctor compaction test (Standard or Modified) determines the relationship between soil moisture content and dry density under controlled compaction energy, establishing the maximum dry density and optimum moisture content for field compaction control. It is the foundation of all earthwork and pavement subgrade quality control.",Proctor test; standard Proctor; modified Proctor; compaction test; maximum dry density; optimum moisture content; moisture-density curve; Proctor compaction; soil compaction; Proctor specification,1. Definition and Purpose; 2. Standard Proctor (ASTM D698; AASHTO T99); 3. Modified Proctor (ASTM D1557; AASHTO T180); 4. Moisture-Density Relationship Curve; 5. Optimum Moisture Content and Maximum Dry Density; 6. Field Compaction Specification (% of maximum density); 7. Proctor in Subgrade and Base Acceptance; 8. Proctor in Airport Earthwork; 9. Compaction Control Testing; 10. Relationship to CBR and Resilient Modulus,Basic soil compaction standard — foundation for subgrade quality control in pavement construction and inspection.,geotechnical; subgrade; construction; testing; pavement,compaction; california-bearing-ratio; resilient-modulus; nuclear-density-gauge; sand-cone-test; dynamic-cone-penetrometer; subgrade; base-course; settlement,medium
